CADDID,PlaceID,FacilityName,Latitude,Longitude,StreetAddress,City,County,ZipCode,RegionalWaterBoard
10001,201050,O & S Holsteins,33.8202,-117.0346,1970 N Warren Road,San Jacinto,Riverside,92582,8
10002,201891,PH Ranch #3,37.452,-120.5881,11586 North Shaffer Road,Winton,Merced,95388,5S
11793,202297,3 Brand Cattle Company,35.4996,-119.1058,34377 Lerdo Hwy,Bakersfield,Kern,93308,5F
10003,202572,J & J DeRaadt Dairy,37.7319,-120.8095,6460 Smith Road,Oakdale,Stanislaus,95361,5S
10004,202610,4-H Calf Ranch,33.9973,-117.6033,9200 Edison Avenue,Ontario,San Bernardino,91762,8
10005,203875,Former E & D Azevedo Dairy,37.0437,-120.2296,17493 Avenue 20,Madera,Madera,93637,5F
10006,203907,A & M De Sousa Dairy,37.4656,-120.9558,3030 South Central Avenue,Turlock,Stanislaus,95380,5S
10007,203909,A & L Dairy,36.2251,-119.4708,23863 Road 48,Tulare,Tulare,93274,5F
10008,203928,M4 Farms Feedlot,36.064,-119.3657,9225 Avenue 152,Tipton,Tulare,93272,5F
10009,203931,"J and A Dairy, LLC",36.2344,-119.7801,16283 18th Avenue,Lemoore,Kings,93245,5F
10010,203936,Silveira Dairy,37.062,-120.3441,11277 Avenue 21 1/2,Chowchilla,Madera,93610,5F
10011,203938,A.T.O. Dairy,36.4573,-119.826,19249 South Fruit Avenue,Riverdale,Fresno,93656,5F
10012,204110,Daniel Brazil Dairy,36.3508,-119.7858,18280 Fairfax Avenue,Lemoore,Kings,93245,5F
10013,204133,River Valley Dairy,36.4061,-119.8858,22700 South Cornelia Avenue,Riverdale,Fresno,93656,5F
10014,204453,Adams Dairy,36.4921,-119.6847,16661 South Fowler Avenue,Selma,Fresno,93662,5F
10015,204511,Adriano Nunes & Son Dairy Farming,36.1286,-119.503,18675 Road 32,Tulare,Tulare,93274,5F
10016,204805,AJB Ranch Dairy,35.3583,-119.3208,28128 Stockdale Hwy,Bakersfield,Kern,93314,5F
10017,204810,AJF Dairy,37.0904,-120.328,23435 Road 12,Chowchilla,Madera,93610,5F
10018,204863,Alamo Dairy,37.5076,-121.013,1500 Fulkerth Road,Crows Landing,Stanislaus,95313,5S
10019,204886,Legend Dairy #1,33.9884,-117.6465,7233 Eucalyptus Avenue,Ontario,San Bernardino,91762,8
10020,204887,Huizenga Heifer Ranch,33.9934,-117.6506,14281 Euclid Avenue,Chino,San Bernardino,91762,8
10021,204896,Albert Mendes Dairy,37.4852,-121.0086,1100 Ruble Road,Crows Landing,Stanislaus,95313,5S
10022,204958,Gordon Dairy #7,33.9958,-117.6269,8185 Edison Avenue,Ontario,San Bernardino,91762,8
10023,204959,TiVa Dairy #2,33.9905,-117.6083,9031 Eucalyptus Avenue,Ontario,San Bernardino,91762,8
10024,204960,Gordon Dairy #6,33.9929,-117.628,14361 Grove Avenue,Ontario,San Bernardino,91762,8
10025,204964,Alexander Dairy,37.7178,-120.962,2054 Crawford Road,Modesto,Stanislaus,95357,5S
10026,204971,Alexandre Dairy,41.8958,-124.1759,8371 Lower Lake,Crescent City,Del Norte,95531,1
10027,204985,Alfred Soares Dairy,37.0575,-120.4377,21282 Road 6,Chowchilla,Madera,93610,5F
10028,205090,Frank Rosa Diary (Closed),36.5305,-119.777,910 East Klepper Street,Fresno,Fresno,93725,5F
10029,205287,Defense Ranch Dairy (Closed),37.0236,-120.3505,10726 Avenue 19,Chowchilla,Madera,93610,5F
10030,205356,Alvaro Machado Dairy,36.3973,-119.6188,5230 9th Avenue,Hanford,Kings,93230,5F
10031,205357,"Alvernaz Dairy, Inc.",37.4851,-120.9944,10562 Crows Landing Road,Crows Landing,Stanislaus,95313,5S
10032,205369,Quist Dairy,36.7114,-119.8879,5500 West Jensen Avenue,Fresno,Fresno,93706,5F
10033,205371,Two Star Dairy #1,36.1069,-119.4322,6305 Avenue 176,Tulare,Tulare,93274,5F
10034,205750,Andrade Dairy,37.0617,-120.3611,10221 Avenue 21 1/2,Chowchilla,Madera,93610,5F
10035,205753,Fernjo Dairy #2,36.211,-119.2501,14428 Avenue 232,Tulare,Tulare,93274,5F
10036,205765,AJ Slenders Dairy,36.4666,-119.7808,625 East Coleman Avenue,Laton,Fresno,93242,5F
10037,205805,Angiola Dairy,36.0054,-119.4491,5515 Avenue 120,Corcoran,Tulare,93212,5F
10038,205829,Ankeridge Dairy,36.2453,-119.175,17873 Avenue 256,Visalia,Tulare,93292,5F
10039,205856,Diamond J Dairy LLC,37.1909,-120.4829,6600 South Hwy 59,Merced,Merced,95341,5S
10040,205857,Ansonea Dairy,35.2525,-118.9456,5250 Di Giorgio Road,Bakersfield,Kern,93307,5F
10041,205938,Antonio Ribeiro Dairy,36.4306,-119.804,430 West Mt Whitney Avenue,Riverdale,Fresno,93656,5F
10042,205940,Santos Jer-Z Dairy,36.2467,-119.213,25199 Road 164,Visalia,Tulare,93292,5F
10043,206288,A & M Farms Dairy,36.6068,-119.9781,10380 Manning Avenue,Fresno,Fresno,93706,5F
10044,206290,River Oaks Dairy,36.4285,-119.7336,3621 East Mount Whitney Avenue,Laton,Fresno,93242,5F
10045,206316,Milky Way Dairy,36.4099,-119.3738,34800 Rd 80,Visalia,Tulare,93291,5F
10046,206319,G & H Dairy #2,37.8138,-121.0159,16475 Brennan Road,Escalon,San Joaquin,95320,5S
10047,206320,G & A Dairy,36.7015,-119.8412,2200 South Marks Avenue,Fresno,Fresno,93706,5F
10048,206371,Flores Dairy,37.4534,-120.5173,1929 West Youd Road,Winton,Merced,95388,5S
10049,206379,Bay Meadow Farms,38.2792,-121.3086,10326 Walnut Avenue,Galt,Sacramento,95632,5S
10050,206461,Pacific Rim Dairy,36.0343,-119.5155,13406 Road 24,Corcoran,Tulare,93212,5F
10051,206616,Astiasuain Dairy,36.6546,-119.3823,22654 East Jefferson Avenue,Reedley,Fresno,93654,5F
10052,206617,GTA Dairy,36.0989,-119.21,16197 Avenue 172,Tulare,Tulare,93274,5F
10053,206618,Soares Dairy - Dos Palos,37.0322,-120.5198,19045 Road 1,Dos Palos,Madera,93620,5F
10054,206708,Sozinho Jerseys 2,36.3274,-119.5614,5811 Lacey Boulevard,Hanford,Kings,93230,5F
10055,206748,Aukeman Dairy,35.4916,-119.3731,28349 Los Angeles Street,Shafter,Kern,93263,5F
11795,207800,Headquarters Ranch #1,36.3354,-119.7627,9495 17th Ave,Lemoore,Kings,93245,5F
10056,208214,Aukeman Farms,36.1049,-119.3661,17297 Road 96,Tulare,Tulare,93274,5F
10057,208356,Olam Farming Inc.,35.2483,-119.1671,14467 Taft Highway,Bakersfield,Kern,93311,5F
10058,208372,Jacobus DeGroot Dairy #2,36.3793,-119.3428,10438 Avenue 320,Visalia,Tulare,93291,5F
10059,208374,Desert Oasis Dairy (Former B & E Dairy),34.9044,-117.0805,26599 Community Boulevard,Barstow,San Bernardino,92311,6V
10060,208376,Ulys Dairy,38.4633,-121.7443,8118 Sikes Road,Dixon,Solano,95620,5S
10061,208378,Correia Farms,36.3225,-119.4234,29401 Road 68,Visalia,Tulare,93277,5F
10062,208384,B & J Dairy,38.3242,-121.3242,9950 Arno Road,Galt,Sacramento,95632,5S
10063,208499,Delta Woods Dairy,37.791,-121.4346,18700 South Bacchetti Road,Tracy,San Joaquin,95304,5S
10064,208503,Joe Avila AFO,34.0046,-117.6183,8559 Schaefer Avenue,Ontario,San Bernardino,91761,8
10065,208546,Art Silva Dairy,37.6824,-120.9002,5201 Milnes Road,Modesto,Stanislaus,95357,5S
10066,208592,Bakker Dairy,36.3318,-119.4386,29800 Road 60,Vislia,Tulare,93291,5F
11775,208636,Traver Cattle,36.4313,-119.5009,3212 Avenue 352,Kingsburg,Tulare,93631,5F
10067,208638,Bancrest Dairy,40.5809,-124.2397,509 Coppini Lane,Ferndale,Humboldt,95536,1
10068,208649,SD Farms II-2,34.0133,-117.6506,13159 Euclid Avenue,Ontario,San Bernardino,91762,8
10069,208679,Bar 20 Dairy No. 2 & 3,36.73,-120.2385,24387 West Whitesbridge Avenue,Kerman,Fresno,93630,5F
10070,208686,John Vander Poel Dairy (Pixley),35.9385,-119.3429,8001 Road 104,Pixley,Tulare,93256,5F
10071,208697,F & L Barcellos Dairy,36.0532,-119.3955,14581 Road 80,Tipton,Tulare,93272,5F
10072,208747,Barreto & Silveira Dairy,36.3078,-119.4904,11305 2nd Avenue,Hanford,Kings,93230,5F
10073,209021,Bear Mountain Dairy,35.2063,-119.0545,4551 Bear Mountain Boulevard,Bakersfield,Kern,93313,5F
10074,209118,Bel R. Martin & Sons Dairy,36.1508,-119.3011,12131 Avenue 200,Tulare,Tulare,93274,5F
11895,209180,Bello Dairy,38.1011,-122.1698,6  Lake Herman,Benicia,Solano,94510,2
10075,209221,Fontes Dairy Farms - Dairy 1,36.4746,-119.8939,5512 West Davis Avenue,Riverdale,Fresno,93656,5F
10076,209228,Former Van Warmerdam Dairy,38.9245,-121.5569,1616 Cornelius Avenue,Nicolaus,Sutter,95659,5S
10077,209303,"Bergwerff Farms, Inc.",37.8212,-120.8574,7113 Mettler Road,Oakdale,Stanislaus,95361,5S
10078,209326,L & M Dairy,37.8376,-121.0157,13944 Brennan Road,Escalon,San Joaquin,95320,5S
10079,209328,Jesse & James Jongsma Dairy,36.0537,-119.4188,6780 Avenue 144,Tipton,Tulare,93272,5F
