CADDID,Year,MilkCows,DryCows,OldHeifers,YoungHeifers,OldCalves,YoungCalves,BeefCattle,MilkCowsHerdSizeRefCode,NonMilkingCattleHerdSizeRefCode,LabeledAsDairy
10001,2012,1000,160,173,127,169,81,0,1,1,1
10001,2013,1100,160,173,127,169,81,0,1,1,1
10001,2014,1100,170,173,127,169,81,0,1,1,1
10001,2015,1100,180,431,319,203,97,0,1,1,1
10001,2016,1125,200,403,297,237,113,0,1,1,1
10001,2017,1100,160,417,308,254,121,0,1,1,1
10001,2018,1200,225,288,212,339,161,0,1,1,1
10001,2019,1200,250,403,297,271,129,0,1,1,1
10001,2020,1238,191,255,188,420,200,0,1,1,1
10001,2021,1219,196,272,200,405,193,0,3a,3a,1
10001,2022,1200,200,288,212,390,185,0,1,1,1
10001,2023,1175,200,288,212,390,185,0,1,1,1
10002,2012,475,70,0,0,0,0,0,1,1,1
10002,2013,475,70,0,0,0,0,0,1,1,1
10002,2014,490,78,0,0,0,0,0,1,1,1
10002,2015,498,80,0,0,0,0,0,1,1,1
10002,2016,505,78,0,0,0,0,0,1,1,1
10002,2017,450,0,0,0,0,0,0,1,1,1
10002,2018,450,0,40,0,0,0,0,3a,3a,1
10002,2019,450,0,80,0,0,0,0,1,1,1
10002,2020,469,0,82,0,0,0,0,1,1,1
10002,2021,468,0,83,0,0,0,0,1,1,1
10002,2022,450,0,80,0,0,0,0,1,1,1
10002,2023,450,0,25,0,0,0,0,1,1,1
11793,2019,0,0,0,0,0,0,27000,1,1,0
11793,2020,0,0,0,0,0,0,29701,2c,3a,0
11793,2021,0,0,0,0,0,0,32402,1,1,0
11793,2022,0,0,0,0,0,0,26558,1,1,0
11793,2023,0,0,0,0,0,0,35982,1,1,0
10003,2012,909,146,274,52,45,0,0,1,1,1
10003,2013,924,142,504,399,165,168,0,1,1,1
10003,2014,924,142,504,399,165,168,0,1,1,1
10003,2015,924,142,504,399,165,168,0,1,1,1
10003,2016,924,142,504,399,165,168,0,1,1,1
10003,2017,924,142,504,399,165,168,0,1,1,1
10003,2018,924,142,504,399,165,168,0,1,1,1
10003,2019,950,140,200,400,250,0,0,1,1,1
10003,2020,950,140,200,400,250,0,0,1,1,1
10003,2021,950,140,200,400,250,0,0,1,1,1
10003,2022,950,140,200,400,250,0,0,1,1,1
10003,2023,950,140,200,400,250,0,0,1,1,1
10004,2012,0,0,0,0,3512,788,0,1,1,0
10004,2013,0,0,0,0,3512,788,0,1,1,0
10004,2014,0,0,0,0,3160,709,0,1,1,0
10004,2015,0,0,0,0,4297,965,0,1,1,0
