County,Region,Year,MktMilkDairiesCow,MktMilkDairiesGoat,MktMilkDairiesSheep,MktMilkDairiesWaterBuffalo,MfgMilkDairiesCow,MfgMilkDairiesGoat,MfgMilkDairiesSheep,MfgMilkDairiesWaterBuffalo
Alameda,Oakland,2012,0,0,NA,NA,0,0,NA,NA
Alpine,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Amador,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Butte,Stockton,2012,2,0,NA,NA,1,0,NA,NA
Calaveras,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Colusa,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Contra Costa,Oakland,2012,0,0,NA,NA,0,0,NA,NA
Del Norte,Oakland,2012,5,0,NA,NA,3,0,NA,NA
El Dorado,Stockton,2012,0,0,NA,NA,0,1,NA,NA
Fresno,Fresno,2012,86,3,NA,NA,0,0,NA,NA
Glenn,Stockton,2012,29,2,NA,NA,6,0,NA,NA
Humboldt,Oakland,2012,51,0,NA,NA,13,5,NA,NA
Imperial,Ontario,2012,3,0,NA,NA,0,0,NA,NA
Inyo,Fresno,2012,0,0,NA,NA,0,0,NA,NA
Kern,Fresno,2012,54,0,NA,NA,0,1,NA,NA
Kings,Fresno,2012,124,8,NA,NA,0,0,NA,NA
Lake,Oakland,2012,0,0,NA,NA,0,1,NA,NA
Lassen,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Los Angeles,Ontario,2012,1,0,NA,NA,0,0,NA,NA
Madera,Fresno,2012,45,2,NA,NA,1,0,NA,NA
Marin,Oakland,2012,25,2,NA,NA,0,0,NA,NA
Mariposa,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Mendocino,Oakland,2012,2,0,NA,NA,0,1,NA,NA
Merced,Fresno/Stockton,2012,235,13,NA,NA,8,0,NA,NA
Modoc,Stockton,2012,0,0,NA,NA,0,1,NA,NA
Mono,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Monterey,Oakland,2012,2,0,NA,NA,0,0,NA,NA
Napa,Oakland,2012,0,0,NA,NA,0,1,NA,NA
Nevada,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Orange,Ontario,2012,0,0,NA,NA,0,0,NA,NA
Placer,Stockton,2012,1,0,NA,NA,0,0,NA,NA
Plumas,Stockton,2012,0,0,NA,NA,0,0,NA,NA
Riverside,Ontario,2012,36,0,NA,NA,0,0,NA,NA
